"Sales" "Year" "Distributer"
1474 2008 "D7"
1920 2008 "D8"
1283 2008 "D9"
1318 2008 "D10"
1459 2008 "D11"
1744 2008 "D12"
1506 2008 "D13"
1521 2008 "D14"
1778 2008 "D15"
1531 2009 "D1"
1782 2009 "D2"
1316 2009 "D3"
1692 2009 "D4"
1523 2009 "D5"
1991 2009 "D6"
1750 2009 "D7"
1572 2009 "D8"
1291 2009 "D9"
1703 2009 "D10"
1910 2009 "D11"
1762 2009 "D12"
1686 2009 "D13"
2000 2009 "D14"
1858 2009 "D15"
1785 2010 "D1"
1764 2010 "D2"
1670 2010 "D3"
1504 2010 "D4"
1764 2010 "D5"
1968 2010 "D6"
2007 2010 "D7"
1913 2010 "D8"
1867 2010 "D9"
1940 2010 "D10"
1727 2010 "D11"
1849 2010 "D12"
1810 2010 "D13"
1599 2010 "D14"
1975 2010 "D15"
